"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice roberts","majority",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice thomas","concurring",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice breyer","dissenting",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice kagan","majority",FALSE,"Kaley v. United States",2014-02-25,NA,2014,NA,FALSE
"justice roberts","dissenting",FALSE,"Kaley v. United States",2014-02-25,NA,2014,NA,FALSE
"justice white","majority",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362",1990,"1989-077",FALSE
"justice kennedy","dissenting",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362",1990,"1989-077",FALSE
"justice scalia","majority",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75",1998,"1997-037",FALSE
"justice thomas","concurring",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75",1998,"1997-037",FALSE
"justice scalia","majority",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice kennedy","concurring",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice breyer","dissenting",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice scalia","majority",FALSE,"Budinich v. Becton Dickinson & Co.",1988-05-23,"486 U.S. 196",1988,"1987-088",FALSE
"justice white","majority",FALSE,"Lefkowitz v. Turley",1973-11-19,"414 U.S. 70",1973,"1973-013",FALSE
"justice douglas","majority",FALSE,"Ford Motor Co. v. United States",1972-03-29,"405 U.S. 562",1972,"1971-084",FALSE
"justice scalia","majority",FALSE,"Reiter v. Cooper",1993-03-08,"507 U.S. 258",1993,"1992-041",FALSE
"justice ginsburg","majority",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132",2017,"2016-053",FALSE
"justice thomas","concurring",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132",2017,"2016-053",FALSE
"justice blackmun","majority",FALSE,"Automobile Workers v. Johnson Controls, Inc.",1991-03-20,"499 U.S. 187",1991,"1990-048",FALSE
"justice white","concurring",FALSE,"Automobile Workers v. Johnson Controls, Inc.",1991-03-20,"499 U.S. 187",1991,"1990-048",FALSE
"justice burger","majority",FALSE,"Rondeau v. Mosinee Paper Corp.",1975-06-17,"422 U.S. 49",1975,"1974-123",FALSE
"justice brennan","dissenting",FALSE,"Rondeau v. Mosinee Paper Corp.",1975-06-17,"422 U.S. 49",1975,"1974-123",FALSE
"justice blackmun","majority",FALSE,"Huffman v. Western Nuclear, Inc.",1988-06-15,"486 U.S. 663",1988,"1987-114",FALSE
"justice ginsburg","majority",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice scalia","concurring",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice thomas","dissenting",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice alito","second_dissenting",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice o'connor","majority",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice marshall","dissenting",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice stevens","second_dissenting",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice powell","majority",FALSE,"Gould v. Ruefenacht",1985-05-28,"471 U.S. 701",1985,"1984-105",FALSE
"justice holmes","majority",FALSE,"Aikens v. Wisconsin",2005-03-04,"195 U.S. 194",2005,NA,FALSE
"justice white","dissenting",FALSE,"Aikens v. Wisconsin",2005-03-04,"195 U.S. 194",2005,NA,FALSE
"justice thomas","majority",FALSE,"Florida Dept. of Rev. v. PICCADILLY",2008-06-16,"554 U.S. 33",2008,"2007-057",FALSE
"justice breyer","dissenting",FALSE,"Florida Dept. of Rev. v. PICCADILLY",2008-06-16,"554 U.S. 33",2008,"2007-057",FALSE
"justice stewart","majority",FALSE,"Mincey v. Arizona",1978-06-21,"437 U.S. 385",1978,"1977-123",FALSE
"justice marshall","concurring",FALSE,"Mincey v. Arizona",1978-06-21,"437 U.S. 385",1978,"1977-123",FALSE
"justice marshall","majority",FALSE,"GTE Sylvania, Inc. v. Consumers Union of United States, Inc.",1980-03-19,"445 U.S. 375",1980,"1979-059",FALSE
"justice white","majority",FALSE,"Paperworkers v. Misco, Inc.",1987-12-01,"484 U.S. 29",1987,"1987-005",FALSE
"justice blackmun","concurring",FALSE,"Paperworkers v. Misco, Inc.",1987-12-01,"484 U.S. 29",1987,"1987-005",FALSE
"justice stevens","majority",FALSE,"Pfaff v. Wells Electronics, Inc.",1998-12-14,"525 U.S. 55",1998,"1998-002",FALSE
"justice stewart","majority",FALSE,"Chandler v. Roudebush",1976-06-01,"425 U.S. 840",1976,"1975-104",FALSE
"justice white","majority",FALSE,"Pullman-Standard v. Swint",1982-04-27,"456 U.S. 273",1982,"1981-082",FALSE
"justice marshall","dissenting",FALSE,"Pullman-Standard v. Swint",1982-04-27,"456 U.S. 273",1982,"1981-082",FALSE
"justice blackmun","majority",FALSE,"Webb's Fabulous Pharmacies, Inc. v. Beckwith",1980-12-09,"449 U.S. 155",1980,"1980-012",FALSE
"justice marshall","majority",FALSE,"McDonald v. Santa Fe Trail Transp. Co.",1976-06-25,"427 U.S. 273",1976,"1975-154",FALSE
"justice rehnquist","dissenting",TRUE,"Johnson v. Board of Ed. of Chicago",1982-06-07,"457 U.S. 52",1982,"1981-110",FALSE
"justice marshall","majority",FALSE,"Iowa Mut. Ins. Co. v. LaPlante",1987-02-24,"480 U.S. 9",1987,"1986-033",FALSE
"justice breyer","majority",FALSE,"Dickinson v. Zurko",1999-06-10,"527 U.S. 150",1999,"1998-071",FALSE
"justice rehnquist","dissenting",FALSE,"Dickinson v. Zurko",1999-06-10,"527 U.S. 150",1999,"1998-071",FALSE
"justice scalia","majority",FALSE,"Jinks v. Richland County",2003-04-22,"538 U.S. 456",2003,"2002-043",FALSE
"justice souter","concurring",FALSE,"Jinks v. Richland County",2003-04-22,"538 U.S. 456",2003,"2002-043",FALSE
"justice ginsburg","majority",FALSE,"Los Angeles County Flood Control Dist. v. Natural Resources Defense Council, Inc.",2013-01-08,"133 S. Ct. 710",2013,"2012-008",FALSE
"justice white","majority",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice brennan","concurring",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice douglas","dissenting",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice powell","majority",FALSE,"Blum v. Stenson",1984-03-21,"465 U.S. 886",1984,"1983-058",FALSE
"justice brennan","concurring",FALSE,"Blum v. Stenson",1984-03-21,"465 U.S. 886",1984,"1983-058",FALSE
"justice kennedy","majority",FALSE,"Overton v. Bazzetta",2003-06-16,"539 U.S. 126",2003,"2002-073",FALSE
"justice stevens","concurring",FALSE,"Overton v. Bazzetta",2003-06-16,"539 U.S. 126",2003,"2002-073",FALSE
"justice ginsburg","majority",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice stevens","concurring",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice kennedy","dissenting",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice o'connor","majority",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice blackmun","dissenting",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice stevens","second_dissenting",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice brennan","majority",FALSE,"Pipefitters v. United States",1972-06-22,"407 U.S. 385",1972,"1971-152",FALSE
"justice powell","dissenting",FALSE,"Pipefitters v. United States",1972-06-22,"407 U.S. 385",1972,"1971-152",FALSE
"justice white","majority",FALSE,"Helling v. McKinney",1993-06-18,"509 U.S. 25",1993,"1992-099",FALSE
"justice thomas","dissenting",FALSE,"Helling v. McKinney",1993-06-18,"509 U.S. 25",1993,"1992-099",FALSE
"justice marshall","majority",FALSE,"Arkansas Best Corp. v. Commissioner",1988-03-07,"485 U.S. 212",1988,"1987-045",FALSE
"justice breyer","majority",FALSE,"Coleman v. Tollefson",2015-05-18,"135 S. Ct. 1759",2015,"2014-043",FALSE
"justice rehnquist","majority",FALSE,"Collins v. Youngblood",1990-06-21,"497 U.S. 37",1990,"1989-119",FALSE
"justice stevens","concurring",FALSE,"Collins v. Youngblood",1990-06-21,"497 U.S. 37",1990,"1989-119",FALSE
"justice burger","concurring",TRUE,"East Carroll Parish School Bd. v. Marshall",1976-03-08,"424 U.S. 636",1976,"1975-051",FALSE
"justice ginsburg","majority",FALSE,"Arizonans for Official English v. Arizona",1997-03-03,"520 U.S. 43",1997,"1996-034",FALSE
"justice marshall","majority",FALSE,"United States v. Lovasco",1977-10-03,"431 U.S. 783",1977,"1976-129",FALSE
"justice stevens","dissenting",FALSE,"United States v. Lovasco",1977-10-03,"431 U.S. 783",1977,"1976-129",FALSE
"justice ginsburg","majority",FALSE,"Burgess v. United States",2008-04-16,"553 U.S. 124",2008,"2007-032",FALSE
"justice white","majority",FALSE,"United States v. Kubrick",1979-11-28,"444 U.S. 111",1979,"1979-008",FALSE
"justice stevens","dissenting",FALSE,"United States v. Kubrick",1979-11-28,"444 U.S. 111",1979,"1979-008",FALSE
"justice rehnquist","majority",FALSE,"Edelman v. Jordan",1974-05-13,"415 U.S. 651",1974,"1973-077",FALSE
"justice douglas","dissenting",FALSE,"Edelman v. Jordan",1974-05-13,"415 U.S. 651",1974,"1973-077",FALSE
"justice brennan","second_dissenting",FALSE,"Edelman v. Jordan",1974-05-13,"415 U.S. 651",1974,"1973-077",FALSE
"justice rehnquist","majority",FALSE,"Dayton Bd. of Ed. v. Brinkman",1977-06-27,"433 U.S. 406",1977,"1976-175",FALSE
"justice stevens","concurring",FALSE,"Dayton Bd. of Ed. v. Brinkman",1977-06-27,"433 U.S. 406",1977,"1976-175",FALSE
"justice stevens","majority",FALSE,"Glickman v. Wileman Brothers & Elliott, Inc.",1997-06-25,"521 U.S. 457",1997,"1996-086",FALSE
"justice souter","dissenting",FALSE,"Glickman v. Wileman Brothers & Elliott, Inc.",1997-06-25,"521 U.S. 457",1997,"1996-086",FALSE
"justice thomas","second_dissenting",FALSE,"Glickman v. Wileman Brothers & Elliott, Inc.",1997-06-25,"521 U.S. 457",1997,"1996-086",FALSE
"justice stevens","majority",FALSE,"Minnick v. California Dept. of Corrections",1981-06-01,"452 U.S. 105",1981,"1980-105",FALSE
"justice rehnquist","concurring",FALSE,"Minnick v. California Dept. of Corrections",1981-06-01,"452 U.S. 105",1981,"1980-105",FALSE
"justice stewart","dissenting",FALSE,"Minnick v. California Dept. of Corrections",1981-06-01,"452 U.S. 105",1981,"1980-105",FALSE
"justice white","majority",FALSE,"Dennis v. Higgins",1991-02-20,"498 U.S. 439",1991,"1990-036",FALSE
"justice kennedy","dissenting",FALSE,"Dennis v. Higgins",1991-02-20,"498 U.S. 439",1991,"1990-036",FALSE
"justice white","majority",FALSE,"Colten v. Kentucky",1972-06-12,"407 U.S. 104",1972,"1971-136",FALSE
"justice douglas","dissenting",FALSE,"Colten v. Kentucky",1972-06-12,"407 U.S. 104",1972,"1971-136",FALSE
"justice marshall","second_dissenting",FALSE,"Colten v. Kentucky",1972-06-12,"407 U.S. 104",1972,"1971-136",FALSE
"justice scalia","majority",FALSE,"Mertens v. Hewitt Associates",1993-06-01,"508 U.S. 248",1993,"1992-079",FALSE
"justice white","dissenting",FALSE,"Mertens v. Hewitt Associates",1993-06-01,"508 U.S. 248",1993,"1992-079",FALSE
"justice burger","concurring",TRUE,"Taggart v. Weinacker's, Inc.",1970-03-16,"397 U.S. 223",1970,"1969-058",FALSE
"justice brennan","majority",FALSE,"Firefighters v. Cleveland",1986-07-02,"478 U.S. 501",1986,"1985-154",FALSE
"justice o'connor","concurring",FALSE,"Firefighters v. Cleveland",1986-07-02,"478 U.S. 501",1986,"1985-154",FALSE
"justice white","dissenting",FALSE,"Firefighters v. Cleveland",1986-07-02,"478 U.S. 501",1986,"1985-154",FALSE
"justice rehnquist","second_dissenting",FALSE,"Firefighters v. Cleveland",1986-07-02,"478 U.S. 501",1986,"1985-154",FALSE
"justice white","majority",FALSE,"Parker v. North Carolina",1970-05-04,"397 U.S. 790",1970,"1969-091",FALSE
"justice black","concurring",FALSE,"Parker v. North Carolina",1970-05-04,"397 U.S. 790",1970,"1969-091",FALSE
"justice rehnquist","majority",FALSE,"McKinney v. Alabama",1976-03-23,"424 U.S. 669",1976,"1975-055",FALSE
"justice blackmun","concurring",FALSE,"McKinney v. Alabama",1976-03-23,"424 U.S. 669",1976,"1975-055",FALSE
"justice marshall","majority",FALSE,"Citicorp Industrial Credit, Inc. v. Brock",1987-06-22,"483 U.S. 27",1987,"1986-137",FALSE
"justice scalia","concurring",FALSE,"Citicorp Industrial Credit, Inc. v. Brock",1987-06-22,"483 U.S. 27",1987,"1986-137",FALSE
"justice stevens","dissenting",FALSE,"Citicorp Industrial Credit, Inc. v. Brock",1987-06-22,"483 U.S. 27",1987,"1986-137",FALSE
"justice breyer","majority",FALSE,"Ohio Forestry Assn., Inc. v. Sierra Club",1998-05-26,"523 U.S. 726",1998,"1997-067",FALSE
"justice ginsburg","majority",FALSE,"Cutter v. Wilkinson",2005-05-31,"544 U.S. 709",2005,"2004-052",FALSE
"justice thomas","concurring",FALSE,"Cutter v. Wilkinson",2005-05-31,"544 U.S. 709",2005,"2004-052",FALSE
"justice marshall","dissenting",TRUE,"Harris v. Rosario",1980-08-11,"446 U.S. 651",1980,"1979-097",FALSE
"justice harlan","dissenting",TRUE,"United States v. City of Chicago",1970-12-07,"400 U.S. 8",1970,"1970-002",FALSE
"justice scalia","majority",FALSE,"INS v. Yueh-Shaio Yang",1996-11-13,"519 U.S. 26",1996,"1996-004",FALSE
"justice brennan","majority",FALSE,"New Motor Vehicle Bd. of Cal. v. Orrin W. Fox Co.",1978-12-05,"439 U.S. 96",1978,"1978-010",FALSE
"justice marshall","concurring",FALSE,"New Motor Vehicle Bd. of Cal. v. Orrin W. Fox Co.",1978-12-05,"439 U.S. 96",1978,"1978-010",FALSE
"justice stevens","dissenting",FALSE,"New Motor Vehicle Bd. of Cal. v. Orrin W. Fox Co.",1978-12-05,"439 U.S. 96",1978,"1978-010",FALSE
"justice douglas","majority",FALSE,"Trafficante v. Metropolitan Life Ins. Co.",1972-12-07,"409 U.S. 205",1972,"1972-019",FALSE
"justice white","concurring",FALSE,"Trafficante v. Metropolitan Life Ins. Co.",1972-12-07,"409 U.S. 205",1972,"1972-019",FALSE
"justice white","majority",FALSE,"Escondido Mut. Water Co. v. La Jolla Band of Mission Indians",1984-06-25,"466 U.S. 765",1984,"1983-095",FALSE
"justice scalia","dissenting",TRUE,"Roper v. Weaver",2007-05-21,"550 U.S. 598",2007,"2006-046",FALSE
"justice burger","majority",FALSE,"Foley v. Connelie",1978-03-22,"435 U.S. 291",1978,"1977-053",FALSE
"justice stewart","concurring",FALSE,"Foley v. Connelie",1978-03-22,"435 U.S. 291",1978,"1977-053",FALSE
"justice marshall","dissenting",FALSE,"Foley v. Connelie",1978-03-22,"435 U.S. 291",1978,"1977-053",FALSE
"justice stevens","second_dissenting",FALSE,"Foley v. Connelie",1978-03-22,"435 U.S. 291",1978,"1977-053",FALSE
"justice white","majority",FALSE,"Pope v. Illinois",1987-05-04,"481 U.S. 497",1987,"1986-088",FALSE
"justice scalia","concurring",FALSE,"Pope v. Illinois",1987-05-04,"481 U.S. 497",1987,"1986-088",FALSE
"justice brennan","dissenting",FALSE,"Pope v. Illinois",1987-05-04,"481 U.S. 497",1987,"1986-088",FALSE
"justice stevens","second_dissenting",FALSE,"Pope v. Illinois",1987-05-04,"481 U.S. 497",1987,"1986-088",FALSE
"justice o'connor","majority",FALSE,"Norfolk Southern R. Co. v. Shanklin",2000-04-17,"529 U.S. 344",2000,"1999-047",FALSE
"justice breyer","concurring",FALSE,"Norfolk Southern R. Co. v. Shanklin",2000-04-17,"529 U.S. 344",2000,"1999-047",FALSE
"justice ginsburg","dissenting",FALSE,"Norfolk Southern R. Co. v. Shanklin",2000-04-17,"529 U.S. 344",2000,"1999-047",FALSE
"justice blackmun","majority",FALSE,"United States v. Zolin",1989-06-21,"491 U.S. 554",1989,"1988-128",FALSE
"justice blackmun","majority",FALSE,"United States v. Sioux Nation",1980-06-30,"448 U.S. 371",1980,"1979-150",FALSE
"justice white","concurring",FALSE,"United States v. Sioux Nation",1980-06-30,"448 U.S. 371",1980,"1979-150",FALSE
"justice rehnquist","dissenting",FALSE,"United States v. Sioux Nation",1980-06-30,"448 U.S. 371",1980,"1979-150",FALSE
"justice rehnquist","majority",FALSE,"Syngenta Crop Protection, Inc. v. Henson",2002-11-05,"537 U.S. 28",2002,"2002-005",FALSE
"justice stevens","concurring",FALSE,"Syngenta Crop Protection, Inc. v. Henson",2002-11-05,"537 U.S. 28",2002,"2002-005",FALSE
"justice blackmun","majority",FALSE,"Morton v. Ruiz",1974-02-20,"415 U.S. 199",1974,"1973-056",FALSE
"justice blackmun","majority",FALSE,"Alamo Land & Cattle Co. v. Arizona",1976-02-24,"424 U.S. 295",1976,"1975-034",FALSE
"justice white","dissenting",FALSE,"Alamo Land & Cattle Co. v. Arizona",1976-02-24,"424 U.S. 295",1976,"1975-034",FALSE
"justice scalia","majority",FALSE,"Eli Lilly & Co. v. Medtronic, Inc.",1990-08-13,"496 U.S. 661",1990,"1989-117",FALSE
"justice kennedy","dissenting",FALSE,"Eli Lilly & Co. v. Medtronic, Inc.",1990-08-13,"496 U.S. 661",1990,"1989-117",FALSE
"justice o'connor","majority",FALSE,"Lyng v. Northwest Indian Cemetery Protective Assn.",1988-04-19,"485 U.S. 439",1988,"1987-061",FALSE
"justice brennan","dissenting",FALSE,"Lyng v. Northwest Indian Cemetery Protective Assn.",1988-04-19,"485 U.S. 439",1988,"1987-061",FALSE
"justice powell","majority",FALSE,"Barker v. Wingo",1972-06-22,"407 U.S. 514",1972,"1971-156",FALSE
"justice white","concurring",FALSE,"Barker v. Wingo",1972-06-22,"407 U.S. 514",1972,"1971-156",FALSE
"justice ginsburg","majority",FALSE,"Bruce v. Samuels",2016-01-12,"135 S. Ct. 2833",2016,"2015-015",FALSE
"justice rehnquist","majority",FALSE,"Fogerty v. Fantasy, Inc.",1994-03-01,"510 U.S. 517",1994,"1993-027",FALSE
"justice thomas","concurring",FALSE,"Fogerty v. Fantasy, Inc.",1994-03-01,"510 U.S. 517",1994,"1993-027",FALSE
"justice thomas","majority",FALSE,"Aetna Health Inc. v. Davila",2004-06-21,"542 U.S. 200",2004,"2003-076",FALSE
"justice ginsburg","concurring",FALSE,"Aetna Health Inc. v. Davila",2004-06-21,"542 U.S. 200",2004,"2003-076",FALSE
"justice thomas","majority",FALSE,"Desert Palace, Inc. v. Costa",2003-06-09,"539 U.S. 90",2003,"2002-068",FALSE
"justice o'connor","concurring",FALSE,"Desert Palace, Inc. v. Costa",2003-06-09,"539 U.S. 90",2003,"2002-068",FALSE
"justice thomas","majority",FALSE,"Nobelman v. American Savings Bank",1993-06-01,"508 U.S. 324",1993,"1992-083",FALSE
"justice stevens","concurring",FALSE,"Nobelman v. American Savings Bank",1993-06-01,"508 U.S. 324",1993,"1992-083",FALSE
"justice stewart","majority",FALSE,"Pike v. Bruce Church, Inc.",1970-03-02,"397 U.S. 137",1970,"1969-052",FALSE
"justice stevens","majority",FALSE,"Grogan v. Garner",1991-01-15,"498 U.S. 279",1991,"1990-024",FALSE
"justice marshall","majority",FALSE,"Sheet Metal Workers v. Lynn",1989-01-18,"488 U.S. 347",1989,"1988-022",FALSE
"justice white","concurring",FALSE,"Sheet Metal Workers v. Lynn",1989-01-18,"488 U.S. 347",1989,"1988-022",FALSE
"justice stewart","majority",FALSE,"United States v. General Dynamics Corp.",1974-03-19,"415 U.S. 486",1974,"1973-073",FALSE
"justice douglas","dissenting",FALSE,"United States v. General Dynamics Corp.",1974-03-19,"415 U.S. 486",1974,"1973-073",FALSE
"justice blackmun","majority",FALSE,"Jeffers v. United States",1977-06-16,"432 U.S. 137",1977,"1976-140",FALSE
"justice thomas","majority",FALSE,"Quanta Computer, Inc. v. LG Electronics, Inc.",2008-06-09,"553 U.S. 617",2008,"2007-048",FALSE
"justice rehnquist","majority",FALSE,"Schenck v. Pro-Choice Network of Western NY",1997-02-19,"519 U.S. 357",1997,"1996-024",FALSE
"justice o'connor","majority",FALSE,"Idaho v. Wright",1990-06-27,"497 U.S. 805",1990,"1989-140",FALSE
"justice kennedy","dissenting",FALSE,"Idaho v. Wright",1990-06-27,"497 U.S. 805",1990,"1989-140",FALSE
"justice o'connor","majority",FALSE,"Maryland v. MacOn",1985-06-17,"472 U.S. 463",1985,"1984-128",FALSE
"justice brennan","dissenting",FALSE,"Maryland v. MacOn",1985-06-17,"472 U.S. 463",1985,"1984-128",FALSE
"justice stewart","majority",FALSE,"Andrus v. Glover Constr. Co.",1980-05-27,"446 U.S. 608",1980,"1979-093",FALSE
"justice marshall","majority",FALSE,"Cooper Stevedoring Co. v. Fritz Kopke, Inc.",1974-05-28,"417 U.S. 106",1974,"1973-119",FALSE
"justice rehnquist","majority",FALSE,"Stewart v. Martinez-Villareal",1998-05-18,"523 U.S. 637",1998,"1997-063",FALSE
"justice scalia","dissenting",FALSE,"Stewart v. Martinez-Villareal",1998-05-18,"523 U.S. 637",1998,"1997-063",FALSE
"justice thomas","second_dissenting",FALSE,"Stewart v. Martinez-Villareal",1998-05-18,"523 U.S. 637",1998,"1997-063",FALSE
"justice brennan","majority",FALSE,"Edwards v. Aguillard",1987-06-19,"482 U.S. 578",1987,"1986-130",FALSE
"justice powell","concurring",FALSE,"Edwards v. Aguillard",1987-06-19,"482 U.S. 578",1987,"1986-130",FALSE
"justice scalia","dissenting",FALSE,"Edwards v. Aguillard",1987-06-19,"482 U.S. 578",1987,"1986-130",FALSE
"justice burger","majority",FALSE,"Washington v. Chrisman",1982-01-13,"455 U.S. 1",1982,"1981-029",FALSE
"justice white","dissenting",FALSE,"Washington v. Chrisman",1982-01-13,"455 U.S. 1",1982,"1981-029",FALSE
"justice brennan","majority",FALSE,"Goldberg v. United States",1976-03-30,"425 U.S. 94",1976,"1975-065",FALSE
"justice stevens","concurring",FALSE,"Goldberg v. United States",1976-03-30,"425 U.S. 94",1976,"1975-065",FALSE
"justice thomas","majority",FALSE,"Pierce County v. Guillen",2003-01-14,"537 U.S. 129",2003,"2002-013",FALSE
"justice burger","majority",FALSE,"Milliken v. Bradley",1974-07-25,"418 U.S. 717",1974,"1973-173",FALSE
"justice stewart","concurring",FALSE,"Milliken v. Bradley",1974-07-25,"418 U.S. 717",1974,"1973-173",FALSE
"justice douglas","dissenting",FALSE,"Milliken v. Bradley",1974-07-25,"418 U.S. 717",1974,"1973-173",FALSE
"justice white","second_dissenting",FALSE,"Milliken v. Bradley",1974-07-25,"418 U.S. 717",1974,"1973-173",FALSE
"justice white","majority",FALSE,"Adams v. Texas",1980-06-25,"448 U.S. 38",1980,"1979-138",FALSE
"justice brennan","concurring",FALSE,"Adams v. Texas",1980-06-25,"448 U.S. 38",1980,"1979-138",FALSE
"justice rehnquist","dissenting",FALSE,"Adams v. Texas",1980-06-25,"448 U.S. 38",1980,"1979-138",FALSE
"justice burger","majority",FALSE,"Standefer v. United States",1980-06-09,"447 U.S. 10",1980,"1979-104",FALSE
"justice kennedy","majority",FALSE,"United States v. Johnson",2000-03-21,"529 U.S. 53",2000,"1999-035",FALSE
"justice stevens","majority",FALSE,"United States v. John Doe, Inc. I",1987-04-21,"481 U.S. 102",1987,"1986-070",FALSE
"justice brennan","dissenting",FALSE,"United States v. John Doe, Inc. I",1987-04-21,"481 U.S. 102",1987,"1986-070",FALSE
"justice blackmun","majority",FALSE,"Fidelity Fed. Sav. & Loan Assn. v. De La Cuesta",1982-06-28,"458 U.S. 141",1982,"1981-150",FALSE
"justice o'connor","concurring",FALSE,"Fidelity Fed. Sav. & Loan Assn. v. De La Cuesta",1982-06-28,"458 U.S. 141",1982,"1981-150",FALSE
"justice rehnquist","dissenting",FALSE,"Fidelity Fed. Sav. & Loan Assn. v. De La Cuesta",1982-06-28,"458 U.S. 141",1982,"1981-150",FALSE
"justice blackmun","majority",FALSE,"Roe v. Wade",1973-01-22,"410 U.S. 113",1973,"1972-048",FALSE
"justice stewart","concurring",FALSE,"Roe v. Wade",1973-01-22,"410 U.S. 113",1973,"1972-048",FALSE
"justice rehnquist","dissenting",FALSE,"Roe v. Wade",1973-01-22,"410 U.S. 113",1973,"1972-048",FALSE
"justice breyer","majority",FALSE,"Evans v. Chavis",2006-01-10,"546 U.S. 189",2006,"2005-016",FALSE
"justice stevens","concurring",FALSE,"Evans v. Chavis",2006-01-10,"546 U.S. 189",2006,"2005-016",FALSE
"justice powell","majority",FALSE,"Pattern Makers v. NLRB",1985-06-27,"473 U.S. 95",1985,"1984-149",FALSE
"justice white","concurring",FALSE,"Pattern Makers v. NLRB",1985-06-27,"473 U.S. 95",1985,"1984-149",FALSE
"justice blackmun","dissenting",FALSE,"Pattern Makers v. NLRB",1985-06-27,"473 U.S. 95",1985,"1984-149",FALSE
"justice stevens","second_dissenting",FALSE,"Pattern Makers v. NLRB",1985-06-27,"473 U.S. 95",1985,"1984-149",FALSE
"justice breyer","majority",FALSE,"Harris v. Arizona Independent Redistricting Comm'n",2016-04-20,"136 S. Ct. 1301",2016,"2015-027",FALSE
"justice powell","majority",FALSE,"FCC v. ITT World Communications, Inc.",1984-04-30,"466 U.S. 463",1984,"1983-083",FALSE
"justice stewart","majority",FALSE,"Gunn v. University Comm. to End War in Viet Nam",1970-06-29,"399 U.S. 383",1970,"1969-131",FALSE
"justice white","concurring",FALSE,"Gunn v. University Comm. to End War in Viet Nam",1970-06-29,"399 U.S. 383",1970,"1969-131",FALSE
"justice rehnquist","majority",FALSE,"Gustafson v. Florida",1973-12-11,"414 U.S. 260",1973,"1973-025",FALSE
"justice stewart","concurring",FALSE,"Gustafson v. Florida",1973-12-11,"414 U.S. 260",1973,"1973-025",FALSE
"justice marshall","dissenting",FALSE,"Gustafson v. Florida",1973-12-11,"414 U.S. 260",1973,"1973-025",FALSE
"justice stevens","majority",FALSE,"Cook v. Gralike",2001-02-28,"531 U.S. 510",2001,"2000-027",FALSE
"justice kennedy","concurring",FALSE,"Cook v. Gralike",2001-02-28,"531 U.S. 510",2001,"2000-027",FALSE
"justice ginsburg","majority",FALSE,"Arizona v. Johnson",2009-01-26,"555 U.S. 323",2009,"2008-019",FALSE
"justice souter","majority",FALSE,"Beach v. Ocwen Fed. Bank",1998-04-22,"523 U.S. 410",1998,"1997-054",FALSE
"justice o'connor","majority",FALSE,"Davis v. United States",1990-05-21,"495 U.S. 472",1990,"1989-081",FALSE
