"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice o'connor","dissenting",FALSE,"Board of Pardons v. Allen",1987-06-09,"482 U.S. 369",1987,"1986-120",FALSE
"justice breyer","majority",FALSE,"Wisconsin Dept. of Corrections v. Schacht",1998-06-25,"524 U.S. 381",1998,"1997-093",FALSE
"justice kennedy","concurring",FALSE,"Wisconsin Dept. of Corrections v. Schacht",1998-06-25,"524 U.S. 381",1998,"1997-093",FALSE
"justice brennan","majority",FALSE,"Sakraida v. Ag Pro, Inc.",1976-06-21,"425 U.S. 273",1976,"1975-075",FALSE
"justice powell","majority",FALSE,"Cuyler v. Sullivan",1980-05-12,"446 U.S. 335",1980,"1979-083",FALSE
"justice stevens","concurring",TRUE,"Montana v. Imlay",1992-11-03,"506 U.S. 5",1992,"1992-002",FALSE
"justice white","dissenting",TRUE,"Montana v. Imlay",1992-11-03,"506 U.S. 5",1992,"1992-002",FALSE
"justice rehnquist","majority",FALSE,"Parker v. Levy",1974-06-19,"417 U.S. 733",1974,"1973-149",FALSE
"justice blackmun","concurring",FALSE,"Parker v. Levy",1974-06-19,"417 U.S. 733",1974,"1973-149",FALSE
"justice douglas","dissenting",FALSE,"Parker v. Levy",1974-06-19,"417 U.S. 733",1974,"1973-149",FALSE
"justice stewart","second_dissenting",FALSE,"Parker v. Levy",1974-06-19,"417 U.S. 733",1974,"1973-149",FALSE
"justice rehnquist","majority",FALSE,"United States v. Texas",1993-04-05,"507 U.S. 529",1993,"1992-052",FALSE
"justice stevens","dissenting",FALSE,"United States v. Texas",1993-04-05,"507 U.S. 529",1993,"1992-052",FALSE
"justice o'connor","majority",FALSE,"United States v. Hensley",1985-01-08,"469 U.S. 221",1985,"1984-015",FALSE
"justice brennan","concurring",FALSE,"United States v. Hensley",1985-01-08,"469 U.S. 221",1985,"1984-015",FALSE
"justice ginsburg","majority",FALSE,"Wood v. Milyard",2012-04-24,"132 S. Ct. 1826",2012,"2011-051",FALSE
"justice thomas","concurring",FALSE,"Wood v. Milyard",2012-04-24,"132 S. Ct. 1826",2012,"2011-051",FALSE
"justice ginsburg","majority",FALSE,"Preston v. Ferrer",2008-02-20,"552 U.S. 346",2008,"2007-018",FALSE
"justice thomas","dissenting",FALSE,"Preston v. Ferrer",2008-02-20,"552 U.S. 346",2008,"2007-018",FALSE
"justice stevens","majority",FALSE,"Thompson v. Oklahoma",1988-06-29,"487 U.S. 815",1988,"1987-153",FALSE
"justice o'connor","concurring",FALSE,"Thompson v. Oklahoma",1988-06-29,"487 U.S. 815",1988,"1987-153",FALSE
"justice scalia","dissenting",FALSE,"Thompson v. Oklahoma",1988-06-29,"487 U.S. 815",1988,"1987-153",FALSE
"justice brennan","majority",FALSE,"Western & Southern Life Ins. Co. v. State Bd. of Equalization of Cal.",1981-05-26,"451 U.S. 648",1981,"1980-096",FALSE
"justice stevens","dissenting",FALSE,"Western & Southern Life Ins. Co. v. State Bd. of Equalization of Cal.",1981-05-26,"451 U.S. 648",1981,"1980-096",FALSE
"justice o'connor","majority",FALSE,"Ingersoll-Rand Co. v. McClendon",1990-12-03,"498 U.S. 133",1990,"1990-014",FALSE
"justice powell","majority",FALSE,"NLRB v. Yeshiva Univ.",1980-02-20,"444 U.S. 672",1980,"1979-039",FALSE
"justice brennan","dissenting",FALSE,"NLRB v. Yeshiva Univ.",1980-02-20,"444 U.S. 672",1980,"1979-039",FALSE
"justice thomas","majority",FALSE,"Montanile v. Board of Trustees of Nat. Elevator Industry Health Benefit Plan",2016-01-20,"136 S. Ct. 651",2016,"2015-016",FALSE
"justice ginsburg","dissenting",FALSE,"Montanile v. Board of Trustees of Nat. Elevator Industry Health Benefit Plan",2016-01-20,"136 S. Ct. 651",2016,"2015-016",FALSE
"justice o'connor","majority",FALSE,"Cooter & Gell v. Hartmarx Corp.",1990-06-11,"496 U.S. 384",1990,"1989-107",FALSE
"justice burger","majority",FALSE,"Morrison-Knudsen Constr. Co. v. Director, Office of Workers' Compensation Programs",1983-05-24,"461 U.S. 624",1983,"1982-085",FALSE
"justice marshall","dissenting",FALSE,"Morrison-Knudsen Constr. Co. v. Director, Office of Workers' Compensation Programs",1983-05-24,"461 U.S. 624",1983,"1982-085",FALSE
"justice blackmun","majority",FALSE,"Austin v. United States",1993-06-28,"509 U.S. 602",1993,"1992-115",FALSE
"justice scalia","concurring",FALSE,"Austin v. United States",1993-06-28,"509 U.S. 602",1993,"1992-115",FALSE
"justice stevens","majority",FALSE,"Illinois v. Abbott & Associates, Inc.",1983-03-29,"460 U.S. 557",1983,"1982-049",FALSE
"justice brennan","concurring",FALSE,"Illinois v. Abbott & Associates, Inc.",1983-03-29,"460 U.S. 557",1983,"1982-049",FALSE
"justice marshall","majority",FALSE,"Tashjian v. Republican Party of Conn.",1986-12-10,"479 U.S. 208",1986,"1986-014",FALSE
"justice stevens","dissenting",FALSE,"Tashjian v. Republican Party of Conn.",1986-12-10,"479 U.S. 208",1986,"1986-014",FALSE
"justice scalia","second_dissenting",FALSE,"Tashjian v. Republican Party of Conn.",1986-12-10,"479 U.S. 208",1986,"1986-014",FALSE
"justice stevens","majority",FALSE,"New Process Steel, L. P. v. NLRB",2010-06-17,"560 U.S. 674",2010,"2009-072",FALSE
"justice ginsburg","majority",FALSE,"Dan's City Used Cars, Inc. v. Pelkey",2013-05-13,"133 S. Ct. 1769",2013,"2012-041",FALSE
"justice kagan","majority",FALSE,"Luna Torres v. Lynch",2016-05-19,"136 S. Ct. 1619",2016,"2015-013",FALSE
"justice sotomayor","dissenting",FALSE,"Luna Torres v. Lynch",2016-05-19,"136 S. Ct. 1619",2016,"2015-013",FALSE
"justice o'connor","majority",FALSE,"Stewart v. Abend",1990-04-24,"495 U.S. 207",1990,"1989-071",FALSE
"justice white","concurring",FALSE,"Stewart v. Abend",1990-04-24,"495 U.S. 207",1990,"1989-071",FALSE
"justice stevens","dissenting",FALSE,"Stewart v. Abend",1990-04-24,"495 U.S. 207",1990,"1989-071",FALSE
"justice stevens","majority",FALSE,"Wyeth v. Levine",2009-03-04,"555 U.S. 555",2009,"2008-029",FALSE
"justice breyer","concurring",FALSE,"Wyeth v. Levine",2009-03-04,"555 U.S. 555",2009,"2008-029",FALSE
"justice alito","dissenting",FALSE,"Wyeth v. Levine",2009-03-04,"555 U.S. 555",2009,"2008-029",FALSE
"justice douglas","dissenting",TRUE,"Paschall v. Christie-Stewart, Inc.",1974-01-07,"414 U.S. 100",1974,"1973-015",FALSE
"justice marshall","majority",FALSE,"Patrick v. Burget",1988-06-30,"486 U.S. 94",1988,"1987-082",FALSE
"justice o'connor","majority",FALSE,"Cohen v. De La Cruz",1998-03-24,"523 U.S. 213",1998,"1997-044",FALSE
"justice scalia","majority",FALSE,"Mickens v. Taylor",2002-03-27,"535 U.S. 162",2002,"2001-034",FALSE
"justice kennedy","concurring",FALSE,"Mickens v. Taylor",2002-03-27,"535 U.S. 162",2002,"2001-034",FALSE
"justice stevens","dissenting",FALSE,"Mickens v. Taylor",2002-03-27,"535 U.S. 162",2002,"2001-034",FALSE
"justice souter","second_dissenting",FALSE,"Mickens v. Taylor",2002-03-27,"535 U.S. 162",2002,"2001-034",FALSE
"justice scalia","majority",FALSE,"Brogan v. United States",1998-01-26,"522 U.S. 398",1998,"1997-024",FALSE
"justice souter","concurring",FALSE,"Brogan v. United States",1998-01-26,"522 U.S. 398",1998,"1997-024",FALSE
"justice stevens","dissenting",FALSE,"Brogan v. United States",1998-01-26,"522 U.S. 398",1998,"1997-024",FALSE
"justice rehnquist","majority",FALSE,"EEOC v. Arabian American Oil Co.",1991-03-26,"499 U.S. 244",1991,"1990-050",FALSE
"justice scalia","concurring",FALSE,"EEOC v. Arabian American Oil Co.",1991-03-26,"499 U.S. 244",1991,"1990-050",FALSE
"justice marshall","dissenting",FALSE,"EEOC v. Arabian American Oil Co.",1991-03-26,"499 U.S. 244",1991,"1990-050",FALSE
"justice brennan","dissenting",TRUE,"Rose v. Locke",1975-11-17,"423 U.S. 48",1975,"1975-009",FALSE
"justice stewart","second_dissenting",TRUE,"Rose v. Locke",1975-11-17,"423 U.S. 48",1975,"1975-009",FALSE
